,经理人ID,经理人姓名,管理资产总规模,职业跨度年数,平均任职年数,出勤率,Average_AYP,Average_Double_Weighted_AYP,Overall_Min_Profit
21582,30783968,石广翔,202.25,1.1753424657534246,1.1753424657534246,1.0,0.05006626125326996,0.050066294620246574,0.0575
31449,30136811,杨欢,67.92,8.64931506849315,1.7921031426269136,0.20719596042408092,0.11971959488228154,0.04933352032811593,-0.4428
22863,30073608,苏文杰,7.68,5.301369863013699,3.082191780821918,0.5813953488372093,0.059339925565620455,0.0490988249802346,-0.0457
32232,30564229,余科苗,5.21,3.4136986301369863,2.4986301369863013,0.7319422150882825,0.09274474884302897,0.04841557972108859,0.0424
11673,30732594,林德涵,0.11,2.734246575342466,0.7744292237442923,0.2832331329325318,0.1146764824781134,0.04787218170244961,-0.2395
28987,30679805,徐斌,48.44,4.476712328767123,2.7474885844748855,0.6137290901672786,0.0595484542866222,0.047840904573143335,-0.0615
29446,30677837,谢家乐,35.88,4.515068493150685,1.8147945205479452,0.40194174757281553,0.082472661011709,0.046871674681506874,-0.2605
19015,30138293,缪玮彬,29.55,7.153424657534247,2.513013698630137,0.35130218307162003,0.019167972875548205,0.04682114143864088,-0.2813
13157,30612130,陆靖昶,49.96,5.1287671232876715,1.2971548998946258,0.25291748849441154,0.08774139043107741,0.04671255905413558,-0.1673
14457,30679376,林青泽,270.81,4.49041095890411,2.2717808219178086,0.5059182428309946,0.037362139137679475,0.0463607889567071,-0.267
4989,30525464,范义,10.06,1.4273972602739726,1.4273972602739726,1.0,0.045690383643526955,0.04617964173257237,0.0643
26497,30785417,王沫尘,80.7,1.1178082191780823,1.1178082191780825,1.0000000000000002,0.030719418027350454,0.04607912704102568,0.0344
18815,30672363,孟棋,15.57,4.701369863013698,1.3878995433789953,0.29521173271173273,0.07919611208193779,0.04598867264477799,-0.2157
39085,30765643,张旭东,33.68,1.2273972602739727,1.1716894977168952,0.9546130952380953,0.052530628388766466,0.04557048371820194,0.0547
13278,30358022,栾江伟,45.93,8.6,2.797743755036261,0.3253190412832862,0.09521237286665597,0.04552230633042762,-0.1035
37772,30804032,赵启元,12.0,0.5150684931506849,0.5150684931506849,1.0,0.04182779585003521,0.04551409617319302,-0.1946
33449,30514820,俞晓斌,670.84,7.115068493150685,2.041339421613394,0.2869036922945279,0.09641803124481636,0.04524929168818275,-0.0504
28982,30788678,王作舟,57.62,0.9972602739726028,0.4584474885844749,0.45970695970695974,0.06503349937981304,0.04510263628708316,0.0006
20760,30794135,邱小乐,0.44,0.7917808219178082,0.7917808219178082,1.0,0.02989818966737756,0.04484728450106634,0.0236
25631,30523334,王静,12.86,6.895890410958904,1.851232876712329,0.26845450933651177,0.1005730913024159,0.044501510508292,-0.4775
30807,30199920,夏真辉,19.990000000000002,2.2849315068493152,2.131506849315069,0.932853717026379,0.04440865529817006,0.04441437486898946,0.0911
4574,30584529,房建威,4.75,5.572602739726028,1.4700587084148729,0.2638010956595027,0.08929516024151385,0.044137817869608235,-0.3574
14290,30689271,厉骞,109.51,4.1287671232876715,3.679452054794521,0.8911745189117453,0.055536346272373936,0.044013038709920106,-0.2669
29378,30674195,徐俊,0.92,4.632876712328767,4.632876712328767,1.0,0.029269723964351346,0.04390458594652702,0.143
15303,30784039,李玮,60.38,1.1753424657534246,0.736986301369863,0.627039627039627,0.043314043077861464,0.04382075123030066,0.0055
9240,30564218,IKEDA KAE,0.87,6.046575342465753,2.7452054794520544,0.4540099682827367,0.06426606196656189,0.04358190626532418,0.0137
28196,30132446,汪洋,327.28,10.413698630136986,1.7658512720156556,0.16957003795993536,0.12030307296675716,0.04288113687114577,-0.3007
34323,30197926,袁争光,134.07,11.03013698630137,2.2078082191780823,0.20016145057128665,0.13801105387904852,0.042048697938911424,-0.1503999999999999
16995,30783971,李岩,9.07,1.1753424657534246,0.9123287671232876,0.7762237762237761,0.04111774820283687,0.04187501757398121,0.0121999999999999
18481,30783970,马赫,9.07,1.1753424657534246,0.9123287671232876,0.7762237762237761,0.04111774820283687,0.04187501757398121,0.0121999999999999
33539,30200305,杨鑫鑫,111.39,10.687671232876712,3.233333333333334,0.30252926600017094,0.06641272106026751,0.041793961034702544,-0.123
35526,30702095,周桓,5.57,3.684931506849315,1.1537290715372908,0.3130937629078893,0.04274914147277034,0.04172063711336579,-0.3937
13730,30803933,刘力宁,6.16,0.5178082191780822,0.45,0.8690476190476191,0.02780021761665652,0.04170032642498478,0.013
3795,30655265,董珊珊,263.68,4.978082191780822,2.589041095890411,0.5200880572372042,0.07856689886802494,0.04163542418421086,-0.0175
12406,30282939,李铧汶,69.35,9.906849315068493,1.789673340358272,0.18065010211027913,0.0772374731784614,0.04147673043542662,-0.3614
31749,30442083,尹华龙,490.33,7.835616438356165,1.0922374429223745,0.1393939393939394,0.08468097781154102,0.041468309153118194,-0.0096
34520,30685937,郑爱刚,1.59,4.260273972602739,2.3446575342465747,0.5503536977491961,0.0754784883450044,0.041445377623115745,-0.0573
22015,30787208,孙继鑫,8.06,1.0794520547945206,1.0794520547945206,1.0,0.02757664079449107,0.041364961191736604,0.0298
18525,30275685,马洪娟,10.37,7.391780821917808,2.092541856925419,0.2830903549954699,0.08256369908422927,0.04088904691780272,-0.0017
39178,30363639,查晓磊,109.58,8.504109589041096,1.5680070702607158,0.1843822746923844,0.07864054743849246,0.04057639291299308,-0.3514
37669,30785863,张琴,9.54,1.115068493150685,0.8657534246575342,0.7764127764127764,0.035568534201825486,0.04050332300706648,0.0268
33543,30724474,杨孝梅,5.6,2.041095890410959,2.041095890410959,1.0,0.04040201496748108,0.040476565962956734,0.083
22583,30682356,宋仁杰,37.89,4.402739726027397,3.759452054794521,0.8538892345986312,0.05429076597209055,0.04002552654847021,0.0001
2635,30782193,陈言一,3.86,1.2493150684931507,1.2493150684931509,1.0000000000000002,0.039112077834009606,0.03991146914791016,0.0463
1818,30567244,成涛,0.44,6.082191780821918,1.261917808219178,0.20747747747747744,0.030537491704750286,0.03969873921617537,0.0173
6129,30787307,管悦,12.600000000000001,1.0767123287671232,0.8068493150684931,0.7493638676844784,0.0524768780281763,0.03914863895497141,0.0243
8166,30642194,胡松,10.07,3.3753424657534246,3.375342465753425,1.0000000000000002,0.025916025892376737,0.038874038838565106,0.0902
28805,30476543,汪志健,20.98,3.5726027397260274,3.151598173515982,0.882157464212679,0.05755678971787592,0.03794686455738055,0.1417
6560,30405174,侯春燕,124.72,8.175342465753424,2.103013698630137,0.25723860589812336,0.0799544599364268,0.03767242599297947,-0.1972
7898,30671430,贺宁,0.71,4.723287671232876,4.723287671232876,1.0,0.024941298017516544,0.03741194702627482,0.1234
4743,30687278,冯琪,2.68,4.2,2.2545205479452055,0.5367906066536203,0.05056893170027741,0.03724430600090974,-0.4131
32740,30574983,杨仁眉,9.63,5.821917808219178,1.704109589041096,0.2927058823529412,0.13314966758847646,0.03709228991346909,-0.5405
5173,30402730,高春梅,80.11,4.454794520547945,1.6914764079147642,0.37969796364630315,0.07046753481921654,0.03700844149439816,0.0093999999999999
30079,30596703,肖威兵,57.92,5.3780821917808215,1.782876712328767,0.33150789607743253,0.09310717407400654,0.036893771548783164,-0.3994
3079,30680248,董福焱,110.21,4.468493150684932,2.5366818873668193,0.56768172218816,0.06385122322159473,0.03688052075776385,-0.0263
21357,30158275,苏秉毅,74.53,12.008219178082191,2.7095890410958905,0.22564453570613738,0.07628782766649492,0.036613950172970956,-0.2848
7714,30790683,黄乐婷,54.169999999999995,0.9068493150684932,0.9068493150684932,1.0,0.04331264527978925,0.03641204724983101,0.0382
33710,30680376,杨一,10.000000000000002,4.473972602739726,3.4447488584474883,0.7699530516431924,0.05417412913213041,0.03640672553120957,0.0391
32931,30744272,叶帅,72.1,2.4,1.1163013698630138,0.46512557077625577,0.05740539331762705,0.03607953973732339,-0.2245
4957,30072426,范妍,199.17000000000002,8.29041095890411,3.1423352902804957,0.37903251188115694,0.07787869385804634,0.03597175761767892,-0.1996
18660,30775656,孟令上,2.3,1.4958904109589042,1.4958904109589042,1.0,0.0359146728616897,0.0359660826570358,0.0538
20943,30775655,阮航,2.3,1.4958904109589042,1.4958904109589042,1.0,0.0359146728616897,0.0359660826570358,0.0538
5579,30793489,龚克寒,0.49,0.810958904109589,0.810958904109589,1.0,0.036128512136339386,0.03586629612145929,0.0283
30492,30784210,胥艺,22.84,1.16986301369863,0.8308219178082192,0.7101873536299766,0.041721632053013234,0.03583990838107271,0.0106
30997,30198031,谢治宇,1002.99,11.035616438356165,5.163470319634703,0.4678914266799073,0.10307232938232008,0.035685652122917265,-0.2716
22951,30037628,沈雪峰,99.25,17.649315068493152,2.3350523771152294,0.13230271928703177,0.1354078911444421,0.035641165821201706,-0.5008
38503,30038872,邹唯,97.17,17.53150684931507,2.549143835616438,0.1454035786841694,0.13322235526207576,0.03549891922344799,-0.4034
35806,30055544,章海默,195.28,12.446575342465753,2.1986301369863015,0.1766453885097953,0.07264374531850047,0.035443437042349604,-0.3274
36705,30189744,张坤,688.08,11.372602739726027,7.113972602739726,0.6255360154179717,0.0755915641371839,0.03535176718028198,-0.2198
854,30592174,陈纪靖,51.04,4.912328767123288,1.7331506849315066,0.3528165086447294,0.06494235183778102,0.035316884281938896,0.0225
30049,30411187,肖世源,58.53,6.641095890410959,4.6808219178082195,0.7048267326732673,0.0674778365519328,0.03516331316093137,0.0601
6365,30466187,黄飙,5.7,2.7150684931506848,1.7726027397260273,0.6528758829465187,-0.014825625493486039,0.03511839669576031,-0.0996
9281,30167070,姜诚,142.39000000000001,9.512328767123288,1.9538572458543622,0.20540261945185548,0.06394545642164134,0.03509161551253124,-0.1006
4467,30553050,范洁,91.31,6.432876712328767,2.8009132420091323,0.4354060193072118,0.05163415909537883,0.0350162038803714,-0.6594
21859,30802856,苏佳,55.9,0.5671232876712329,0.178310502283105,0.31441223832528176,0.041330290162486495,0.03485050597686453,-0.0039
18423,30289498,孟飞,89.55,9.550684931506849,0.954552780016116,0.0999460024973845,0.085243115788748,0.034773564362720354,0.0297
18967,30698884,毛时超,7.92,3.756164383561644,1.162640099626401,0.3095285458523971,0.05877588462963594,0.034747528340093994,-0.3086
37712,30075384,张清华,1000.73,10.136986301369863,2.9544371649791543,0.2914512338425382,0.10825695971088056,0.03464841775481557,-0.1055
14734,30169579,刘淑生,9.74,5.693150684931507,1.5598173515981735,0.27398139236445296,0.07704900958429084,0.03463252650314927,-0.0928
36795,30555032,郑玲,19.15,3.591780821917808,1.2536203522504894,0.3490247357524246,0.04928435072638704,0.03457995833091779,-0.0931
34571,30574191,张标,22.909999999999997,5.854794520547945,3.2811955168119553,0.5604288084400392,0.051126990466789535,0.0344451114128078,-0.1148
1586,30799389,陈祺伟,14.56,0.6438356164383562,0.5621917808219179,0.8731914893617022,0.04013210358856728,0.03444081770441361,0.0152
36650,30685896,朱金钰,24.21,4.161643835616438,3.0634050880626225,0.7361045800808804,0.058320844739156275,0.03437775885460686,-0.2064
2346,30751975,崔易,2.3,2.191780821917808,2.180821917808219,0.995,0.03408909345405631,0.034245208864038756,0.074
35491,30552205,曾鸿,0.37,6.449315068493151,2.4383561643835616,0.37807986406117244,0.02633277662811362,0.034232609616547706,-0.0692
3540,30334871,董理,305.69,8.92054794520548,2.1616438356164385,0.24232186732186733,0.09592945490899285,0.03418035950898855,-0.3686999999999999
352,30721223,池陈森,37.32,3.0767123287671234,3.0767123287671234,1.0,0.03370642105172561,0.03403147680438397,0.099
